fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,class
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,0
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,0
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,,6,0
2.0488253357163346,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,0
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,0
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,0
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,0
2.9407959185647794,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,0
7.5,4.016711404591325,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,,5,0
1.1929039287186924,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,0
7.5,-0.028263089678888464,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,0
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,0
7.8,2.620312275211475,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,0
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,0
10.038017498852719,2.0497237527987497,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,0
8.5,1.929441341113966,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,,7,0
4.013251560397621,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,,5,0
7.4,0.5666734142769607,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,0
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,,6,0
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,,6,0
